#ColName,PK,TEXT POSITION,TYPES,DefaultValue,EXTERNAL,Position: Start,Position: End,FillSymbol
RECORD_TYPE,N,0,CHAR,,N           ,0,0,0
LINE_NO ,N,1,CHAR,,N,0,0,0
RECEIPT_NUMBER,N,2,CHAR,,N,0,0,0
AR_INVOICE_NO,N,3,CHAR,,N,0,0,0
SALES_ORDER_NO,N,4,CHAR,,N,0,0,0
INVOICE_AMOUNT,N,5,CHAR,,N,0,0,0
CREDIT_AMOUNT,N,6,CHAR,,N,0,0,0
PAID_AMOUNT,N,7,CHAR,,N,0,0,0
REMAIN_AMOUNT,N,8,CHAR,,N,0,0,0
DESCRIPTION,N,9,CHAR,,N,0,0,0
ORG_ID,N,10,CHAR,,N,0,0,0
ORDER_NUMBER,N,11,CHAR,,N,0,0,0
PAYMENT_METHOD,N,12,CHAR,,N,0,0,0
WRITE_OFF,N,13,CHAR,,N,0,0,0
BANK,N,14,CHAR,,N,0,0,0
BANK_BRANCH,N,15,CHAR,,N,0,0,0
CHEQUE_NO,N,16,CHAR,,N,0,0,0
CHEQUE_DATE,N,17,DATE,,N,0,0,0
CREDIT_CARD_TYPE,N,18,CHAR,,N,0,0,0
ORDER_LINE_ID,N,19,CHAR,,N,0,0,0
