#ColName,PK,TEXT POSITION,LENGTH,TYPES,DefaultValue,EXTERNAL,KEY_UPDATE_OR_DELETE,Role in Action Column,Require Field,ValidFunc
ACTIVITY_CODE,N,0,2,CHAR,,N           ,N,,,
WH_SYSTEM,N,1,1,CHAR,,N,N,,,
FACT_ID,N,2,5,CHAR,,N,N,,,
BILL_10,N,3,13,CHAR,,N,N,,,
ITEM_ID,N,4,15,CHAR,,N,N,,,
SIZE_CODE,N,5,4,CHAR,,N,N,,,
COLOR_CODE,N,6,3,CHAR,,N,N,,,
BASE_UOM_CODE,N,7,10,CHAR,,N,N,,,
DFB_UOM_CODE,N,8,10,CHAR,,N,N,,,
TOTAL_QTY,N,9,14,DECIMAL4,,N,N,,,
COST,N,10,9,DECIMAL,,N,N,,,
LINE_STATUS,N,11,1,CHAR,,N,N,,,
ITEM_BARCODE,N,12,13,CHAR,,N,N,,,
NET_AMOUNT,N,13,13,DECIMAL,,N,N,,,
RETAIL_PRICE,N,14,9,DECIMAL,,N,N,,,
BUS_CODE,N,15,1,CHAR,,N,N,,,
DEPT_CODE,N,16,1,CHAR,,N,N,,,
PRODUCT_CODE,N,17,1,CHAR,,N,N,,,
SPD_CODE,N,18,1,CHAR,,N,N,,,
CREATE_DATE,N,19,0,DATE,,GET_CURRENT_DATE,N,,,
CREATE_USER,N,20,0,CHAR,,GET_CURRENT_USER,N,,,
FILE_NAME,N,21,0,CHAR,,GET_FILE_NAME_IMPORT,N,,,
