#ColName,PK,TEXT POSITION,LENGTH,TYPES,DefaultValue,EXTERNAL,KEY_UPDATE_OR_DELETE,Role in Action Column,Require Field,ValidFunc
ACTIVITY_CODE,N,0,2,CHAR,,N           ,N,,,
BILL_10,N,1,13,CHAR,,N,N,,,
CUST_ID,N,2,8,CHAR,,N,N,,,
SHIP_NO,N,3,8,CHAR,,N,N,,,
BUS_CODE,N,4,1,CHAR,,N,N,,,
DEPT_CODE,N,5,1,CHAR,,N,N,,,
PRODUCT_CODE,N,6,1,CHAR,,N,N,,,
SPD_CODE,N,7,1,CHAR,,N,N,,,
PRODUCT_TNAME,N,8,30,CHAR,,N,N,,,
BILL_DATE,N,9,8,CHAR,,N,N,,,
SHIP_TO_ADDRESS,N,10,150,CHAR,,N,N,,,
SHIP_NAME,N,11,50,CHAR,,N,N,,,
TSC_ID,N,12,3,CHAR,,N,N,,,
TSC_NAME,N,13,30,CHAR,,N,N,,,
SITE_ID,N,14,3,CHAR,,N,N,,,
NET_AMOUNT,N,15,13,DECIMAL,,N,N,,,
TDH_GEN_NO,N,16,6,CHAR,,N,N,,,
PRODUCT_BARCODE,N,17,3,CHAR,,N,N,,,
BKK_UPC_FLAG,N,18,1,CHAR,,N,N,,,
BILL_NO,N,19,13,CHAR,,N,N,,,
VIA_TO_ADDRESS,N,20,150,CHAR,,N,N,,,
VIA_NAME,N,21,50,CHAR,,N,N,,,
CORNER_ID,N,22,3,CHAR,,N,N,,,
CORNER_NAME,N,23,30,CHAR,,N,N,,,
DIS_SALE_PASS,N,24,4,DECIMAL,,N,N,,,
DISC1_PERCENT,N,25,4,DECIMAL,,N,N,,,
DISC2_PERCENT,N,26,4,DECIMAL,,N,N,,,
DISC_BAHT,N,27,9,DECIMAL,,N,N,,,
ZIPCODE,N,28,5,CHAR,,N,N,,,
SHIP_PHONE,N,29,30,CHAR,,N,N,,,
VIA_PHONE,N,30,30,CHAR,,N,N,,,
CASH_FLAG,N,31,1,CHAR,,N,N,,,
DELIVERY_DATE,N,32,8,CHAR,,N,N,,,
PO_NO,N,33,15,CHAR,,N,N,,,
FROM_SYSTEM,N,34,10,CHAR,,N,N,,,
GROUP_NO_BILL_REPLACE,N,35,1,CHAR,,N,N,,,
SORTER_ROUND,N,36,2,DECIMAL,,N,N,,,
SORTER_BATCH,N,37,15,DECIMAL,,N,N,,,
SORTER_CHUTE,N,38,3,DECIMAL,,N,N,,,
CREATE_DATE,N,39,0,DATE,,GET_CURRENT_DATE,N,,,
CREATE_USER,N,40,0,CHAR,,GET_CURRENT_USER,N,,,
FILE_NAME,N,41,0,CHAR,,GET_FILE_NAME_IMPORT,N,,,
