#ColName,ACTION_DB,TEXT POSITION,TYPES,DefaultValue,EXTERNAL,KEY_UPDATE_OR_DELETE,Role in Action Column,Require Field,ValidFunc
CUSTOMER_ID,I,0,INTEGER,,GET_SEQ|m_customer,N,AD|DD|TT|VAN,N,N
REFERENCE_ID,UI,1,INTEGER,,N,N,AD|DD|TT|VAN,N,N
CUSTOMER_TYPE,UI,2,VARCHAR,,N,N,AD|DD|TT|VAN,N,N
CODE,UI,3,VARCHAR,,N,Y,AD|DD|TT|VAN,N,N
NAME,UI,4,VARCHAR,,N,N,AD|DD|TT|VAN,N,N
NAME2,UI,5,VARCHAR,,N,N,AD|DD|TT|VAN,N,N
TAX_NO,UI,6,VARCHAR,,N,N,AD|DD|TT|VAN,N,N
PERSON_ID_NO,UI,7,VARCHAR,,N,N,AD|DD|TT|VAN,N,N
WEBSITE,UI,8,VARCHAR,,N,N,AD|DD|TT|VAN,N,N
TERRITORY,UI,9,VARCHAR,,N,N,AD|DD|TT|VAN,N,N
BUSINESS_TYPE,UI,10,VARCHAR,,N,N,AD|DD|TT|VAN,N,N
PARENT_CUSTOMER_ID,UI,11,INTEGER,,N,N,AD|DD|TT|VAN,N,N
BIRTHDAY,UI,12,DATE,,N,N,AD|DD|TT|VAN,N,N
CREDIT_CHECK,UI,13,CHAR,,N,N,AD|DD|TT|VAN,N,N
PAYMENT_TERM,UI,14,CHAR,,N,N,AD|DD|TT|VAN,N,N
VAT_CODE,UI,15,CHAR,,N,N,AD|DD|TT|VAN,N,N
PAYMENT_METHOD,UI,16,VARCHAR,,N,N,AD|DD|TT|VAN,N,N
SHIPPING_METHOD,UI,17,VARCHAR,,N,N,AD|DD|TT|VAN,N,N
SHIPPING_ROUTE,UI,18,VARCHAR,,N,N,AD|DD|TT|VAN,N,N
TRANSIT_NAME,UI,19,VARCHAR,,N,N,AD|DD|TT|VAN,N,N
CREDIT_LIMIT,UI,20,DECIMAL,,N,N,AD|DD|TT|VAN,N,N
EMAIL,UI,21,VARCHAR,,N,N,AD|DD|TT|VAN,N,N
REGISTER_DATE,UI,22,DATE,,N,N,AD|DD|TT|VAN,N,N
ORDER_DATE,UI,23,VARCHAR,,N,N,AD|DD|TT|VAN,N,N
SHIPPING_DATE,UI,24,VARCHAR,,N,N,AD|DD|TT|VAN,N,N
SHIPPING_TIME,UI,25,VARCHAR,,N,N,AD|DD|TT|VAN,N,N
MEMBER_TYPE,UI,26,VARCHAR,,N,N,AD|DD|TT|VAN,N,N
ORDER_AMOUNT_PERIOD,UI,27,VARCHAR,,N,N,AD|DD|TT|VAN,N,N
ROUND_TRIP,UI,28,VARCHAR,,N,N,AD|DD|TT|VAN,N,N
PRODUCT_CATEGORY_ID,UI,29,INTEGER,,N,N,AD|DD|TT|VAN,N,N
OCCUPATION,UI,30,VARCHAR,,N,N,AD|DD|TT|VAN,N,N
MONHTLY_INCOME,UI,31,DECIMAL,,N,N,AD|DD|TT|VAN,N,N
CHOLESTEROL,UI,32,DECIMAL,,N,N,AD|DD|TT|VAN,N,N
MEMBER_LEVEL,UI,33,VARCHAR,,N,N,AD|DD|TT|VAN,N,N
RECOMMENDED_TYPE,UI,34,VARCHAR,,N,N,AD|DD|TT|VAN,N,N
RECOMMENDED_ID,UI,35,INTEGER,,N,N,AD|DD|TT|VAN,N,N
RECOMMENDED_BY,UI,36,VARCHAR,,N,N,AD|DD|TT|VAN,N,N
CANCEL_REASON,UI,37,VARCHAR,,N,N,AD|DD|TT|VAN,N,N
USER_ID,UI,38,INTEGER,,N,N,AD|DD|TT|VAN,N,N
ISACTIVE,UI,39,CHAR,Y,N,N,AD|DD|TT|VAN,N,N
PARTY_TYPE,UI,40,CHAR,,N,N,AD|DD|TT|VAN,N,N
INTERFACES,UI,41,CHAR,,GET_INTERFACES_FLAG,N,AD|DD|TT|VAN,N,N
