#ColName,PK,TEXT POSITION,TYPES,DefaultValue,EXTERNAL
RECORD_TYPE,N,0,CHAR,,N           
ORDER_NUMBER  ,N,1,CHAR,,N
ORDER_TYPE ,N,2,CHAR,,N
ORDER_DATE,N,3,DATE,,N
ORDER_TIME,N,4,CHAR,,N
CUSTOMER_ID,N,5,CHAR,,N
CUSTOMER_NUMBER,N,6,CHAR,,N
CUSTOMER_NAME,N,7,CHAR,,N
SHIP_TO_SITE_USE_ID ,N,8,CHAR,,N
BILL_TO_SITE_USE_ID,N,9,CHAR,,N
PAYMENT_TERM,N,10,CHAR,,N
SALESREP_ID,N,11,CHAR,,N
PRICELIST_ID,N,12,CHAR,,N
ORG_ID,N,13,CHAR,,N
VAT_CODE,N,14,CHAR,,N
VAT_RATE ,N,15,CHAR,,N
PAYMENT_METHOD,N,16,CHAR,,N
SHIPPING_DAY,N,17,CHAR,,N
SHIPPING_TIME,N,18,CHAR,,N
TOTAL_AMOUNT,N,19,CHAR,,N
VAT_AMOUNT,N,20,CHAR,,N
NET_AMOUNT,N,21,CHAR,,N
PAYMENT,N,22,CHAR,,N
SALES_ORDER_NO,N,23,CHAR,,N
AR_INVOICE_NO,N,24,CHAR,,N
DOC_STATUS,N,25,CHAR,,N
ORA_BILL_ADDRESS_ID,N,26,CHAR,,N
ORA_SHIP_ADDRESS_ID,N,27,CHAR,,N
FILE_NAME,N,28,CHAR,,N
ORG,N,29,CHAR,,N
